Date,BTCUSD
2023-05-25,26260.72
2023-05-24,26329.01
2023-05-23,27219.61
2023-05-22,26849.27
2023-05-21,26747.78
2023-05-20,27102.43
2023-05-19,26880.26
2023-05-18,26821.28
2023-05-17,27405.61
2023-05-16,27033.84
2023-05-15,27162.14
2023-05-14,26917.62
2023-05-13,26775.28
2023-05-12,26795.01
2023-05-11,26968.62
2023-05-10,27598.75
2023-05-09,27628.27
2023-05-08,27668.79
2023-05-07,28430.1
2023-05-06,28848.2
2023-05-05,29505.61
2023-05-04,28838.16
2023-05-03,29026.16
2023-05-02,28669.86
2023-05-01,28068.26
2023-04-30,29233.21
2023-04-29,29230.45
2023-04-28,29311.7
2023-04-27,29472.77
2023-04-26,28415.29
2023-04-25,28300.79
2023-04-24,27510.93
2023-04-23,27590.6
2023-04-22,27816.85
2023-04-21,27262.84
2023-04-20,28243.65
2023-04-19,28797.1
2023-04-18,30380.01
2023-04-17,29430.27
2023-04-16,30304.65
2023-04-15,30295.09
2023-04-14,30466.93
2023-04-13,30373.84
2023-04-12,29888.07
2023-04-11,30200.42
2023-04-10,29637.34
2023-04-09,28323.76
2023-04-08,27938.38
2023-04-07,27906.33
2023-04-06,28033.82
2023-04-05,28170.01
2023-04-04,28165.47
2023-04-03,27800.0
2023-04-02,28171.87
2023-04-01,28452.73
2023-03-31,28465.36
2023-03-30,28028.53
2023-03-29,28348.6
2023-03-28,27261.07
2023-03-27,27124.91
2023-03-26,27968.05
2023-03-25,27462.95
2023-03-24,27454.47
2023-03-23,28295.41
2023-03-22,27250.97
2023-03-21,28105.47
2023-03-20,27717.01
2023-03-19,27972.87
2023-03-18,26907.49
2023-03-17,27395.13
2023-03-16,24998.78
2023-03-15,24285.66
2023-03-14,24670.41
2023-03-13,24113.48
2023-03-12,21997.11
2023-03-11,20455.73
2023-03-10,20150.69
2023-03-09,20362.22
2023-03-08,21705.44
2023-03-07,22197.96
2023-03-06,22410.0
2023-03-05,22430.24
2023-03-04,22346.57
2023-03-03,22354.34
2023-03-02,23465.32
2023-03-01,23628.97
2023-02-28,23141.57
2023-02-27,23492.09
2023-02-26,23554.85
2023-02-25,23157.07
2023-02-24,23185.29
2023-02-23,23940.2
2023-02-22,24182.21
2023-02-21,24452.16
2023-02-20,24842.2
2023-02-19,24271.76
2023-02-18,24631.95
2023-02-17,24569.97
2023-02-16,23517.72
2023-02-15,24324.05
2023-02-14,22199.84
2023-02-13,21773.97
2023-02-12,21783.54
2023-02-11,21862.55
2023-02-10,21625.19
2023-02-09,21796.35
2023-02-08,22963.0
2023-02-07,23240.46
2023-02-06,22762.52
2023-02-05,22932.91
2023-02-04,23326.84
2023-02-03,23431.9
2023-02-02,23488.94
2023-02-01,23732.66
2023-01-31,23125.13
2023-01-30,22826.15
2023-01-29,23742.3
2023-01-28,23022.6
2023-01-27,23074.16
2023-01-26,23009.65
2023-01-25,23060.94
2023-01-24,22632.89
2023-01-23,22916.45
2023-01-22,22707.88
2023-01-21,22783.55
2023-01-20,22667.21
2023-01-19,21071.59
2023-01-18,20677.47
2023-01-17,21134.81
2023-01-16,21185.65
2023-01-15,20871.5
2023-01-14,20954.92
2023-01-13,19930.01
2023-01-12,18846.62
2023-01-11,17943.26
2023-01-10,17440.66
2023-01-09,17178.26
2023-01-08,17127.83
2023-01-07,16943.57
2023-01-06,16950.65
2023-01-05,16831.85
2023-01-04,16850.36
2023-01-03,16675.18
2023-01-02,16672.87
2023-01-01,16616.75
2022-12-31,16542.4
2022-12-30,16607.48
2022-12-29,16633.47
2022-12-28,16547.31
2022-12-27,16706.36
2022-12-26,16919.39
2022-12-25,16832.11
2022-12-24,16836.12
2022-12-23,16778.5
2022-12-22,16821.43
2022-12-21,16824.67
2022-12-20,16895.56
2022-12-19,16438.88
2022-12-18,16738.21
2022-12-17,16776.52
2022-12-16,16632.12
2022-12-15,17356.34
2022-12-14,17803.15
2022-12-13,17774.7
2022-12-12,17209.83
2022-12-11,17085.05
2022-12-10,17127.49
2022-12-09,17128.56
2022-12-08,17224.1
2022-12-07,16836.64
2022-12-06,17088.96
2022-12-05,16966.35
2022-12-04,17105.7
2022-12-03,16885.2
2022-12-02,17092.74
2022-12-01,16977.37
2022-11-30,17163.64
2022-11-29,16442.53
2022-11-28,16212.91
2022-11-27,16428.78
2022-11-26,16458.57
2022-11-25,16522.14
2022-11-24,16598.95
2022-11-23,16603.11
2022-11-22,16226.94
2022-11-21,15781.29
2022-11-20,16280.23
2022-11-19,16700.68
2022-11-18,16700.45
2022-11-17,16692.56
2022-11-16,16662.76
2022-11-15,16900.57
2022-11-14,16619.46
2022-11-13,16329.85
2022-11-12,16812.08
2022-11-11,17070.31
2022-11-10,17601.15
2022-11-09,15922.81
2022-11-08,18547.23
2022-11-07,20591.13
2022-11-06,20905.58
2022-11-05,21299.37
2022-11-04,21148.52
2022-11-03,20207.82
2022-11-02,20151.84
2022-11-01,20483.62
2022-10-31,20490.74
2022-10-30,20627.48
2022-10-29,20809.67
2022-10-28,20591.84
2022-10-27,20295.11
2022-10-26,20771.59
2022-10-25,20080.07
2022-10-24,19329.72
2022-10-23,19570.4
2022-10-22,19204.35
2022-10-21,19164.37
2022-10-20,19041.92
2022-10-19,19123.97
2022-10-18,19327.44
2022-10-17,19549.86
2022-10-16,19262.98
2022-10-15,19069.39
2022-10-14,19176.93
